Publication Date,Title,Link
2/8/2019,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2019/02/08/2019-01616/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
2/8/2019,"San Diego Museum of Man, San Diego, CA",https://www.federalregister.gov/documents/2019/02/08/2019-01617/notice-of-intent-to-repatriate-cultural-items-san-diego-museum-of-man-san-diego-ca
2/4/2019,"San Diego Museum of Man, San Diego, CA",https://www.federalregister.gov/documents/2019/02/04/2019-00835/notice-of-intent-to-repatriate-cultural-items-san-diego-museum-of-man-san-diego-ca
12/6/2018,"Oakland Museum of California, Oakland, CA",https://www.federalregister.gov/documents/2018/12/06/2018-26446/notice-of-intent-to-repatriate-cultural-items-oakland-museum-of-california-oakland-ca
11/14/2018,"Minnesota Historical Society, St. Paul, MN",https://www.federalregister.gov/documents/2018/11/14/2018-24768/notice-of-intent-to-repatriate-cultural-items-minnesota-historical-society-st-paul-mn
11/13/2018,"University of California, Davis, Davis, CA",https://www.federalregister.gov/documents/2018/11/13/2018-24661/notice-of-intent-to-repatriate-cultural-items-university-of-california-davis-davis-ca
10/19/2018,"Fowler Museum at the University of California Los Angeles, Los Angeles, CA",https://www.federalregister.gov/documents/2018/10/19/2018-22792/notice-of-intent-to-repatriate-cultural-items-fowler-museum-at-the-university-of-california-los
10/19/2018,"Fowler Museum at the University of California Los Angeles, Los Angeles, CA",https://www.federalregister.gov/documents/2018/10/19/2018-22797/notice-of-intent-to-repatriate-cultural-items-fowler-museum-at-the-university-of-california-los
10/17/2018,"Arizona State Museum, University of Arizona, Tucson, AZ; Correction",https://www.federalregister.gov/documents/2018/10/17/2018-22595/notice-of-intent-to-repatriate-cultural-items-arizona-state-museum-university-of-arizona-tucson-az
10/17/2018,"Sternberg Museum of Natural History, Hays, KS",https://www.federalregister.gov/documents/2018/10/17/2018-22588/notice-of-intent-to-repatriate-cultural-items-sternberg-museum-of-natural-history-hays-ks
10/17/2018,"Arizona State Parks and Trails, Phoenix, AZ, and Arizona State Museum, University of Arizona, Tucson, AZ",https://www.federalregister.gov/documents/2018/10/17/2018-22599/notice-of-intent-to-repatriate-cultural-items-arizona-state-parks-and-trails-phoenix-az-and-arizona
10/17/2018,"Arizona State Museum, University of Arizona, Tucson, AZ",https://www.federalregister.gov/documents/2018/10/17/2018-22598/notice-of-intent-to-repatriate-cultural-items-arizona-state-museum-university-of-arizona-tucson-az
8/23/2018,"Riverside Metropolitan Museum, Riverside, CA",https://www.federalregister.gov/documents/2018/08/23/2018-18205/notice-of-intent-to-repatriate-cultural-items-riverside-metropolitan-museum-riverside-ca
8/10/2018,"Thomas Gilcrease Institute of American History and Art, Tulsa, OK",https://www.federalregister.gov/documents/2018/08/10/2018-17216/notice-of-intent-to-repatriate-cultural-items-thomas-gilcrease-institute-of-american-history-and-art
7/12/2018,"U.S. Department of the Interior, National Park Service, Grand Canyon National Park, Grand Canyon, AZ",https://www.federalregister.gov/documents/2018/07/12/2018-14902/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-national-park-service
7/12/2018,"Berkshire Museum, Pittsfield, MA",https://www.federalregister.gov/documents/2018/07/12/2018-14896/notice-of-intent-to-repatriate-cultural-items-berkshire-museum-pittsfield-ma
6/18/2018,"Riverside Metropolitan Museum, Riverside, CA",https://www.federalregister.gov/documents/2018/06/18/2018-13038/notice-of-intent-to-repatriate-cultural-items-riverside-metropolitan-museum-riverside-ca
5/21/2018,"Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA",https://www.federalregister.gov/documents/2018/05/21/2018-10781/notice-of-intent-to-repatriate-cultural-items-peabody-museum-of-archaeology-and-ethnology-harvard
4/13/2018,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2018/04/13/2018-07701/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
4/13/2018,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE, and State Archaeological Research Center, Rapid City, SD",https://www.federalregister.gov/documents/2018/04/13/2018-07703/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne-and
4/4/2018,"U.S. Fish and Wildlife Service, Office of Law Enforcement, Albuquerque, NM",https://www.federalregister.gov/documents/2018/04/04/2018-06836/notice-of-intent-to-repatriate-cultural-items-us-fish-and-wildlife-service-office-of-law-enforcement
4/4/2018,"La Plata County Historical Society, Durango, CO",https://www.federalregister.gov/documents/2018/04/04/2018-06834/notice-of-intent-to-repatriate-cultural-items-la-plata-county-historical-society-durango-co
2/22/2018,"New Jersey State Museum, Trenton, NJ",https://www.federalregister.gov/documents/2018/02/22/2018-03633/notice-of-intent-to-repatriate-cultural-items-new-jersey-state-museum-trenton-nj
2/22/2018,"Mount Holyoke College Art Museum, South Hadley, MA",https://www.federalregister.gov/documents/2018/02/22/2018-03630/notice-of-intent-to-repatriate-cultural-items-mount-holyoke-college-art-museum-south-hadley-ma
2/22/2018,"United States Army Corps of Engineers, Tulsa District, Tulsa, OK",https://www.federalregister.gov/documents/2018/02/22/2018-03635/notice-of-intent-to-repatriate-cultural-items-united-states-army-corps-of-engineers-tulsa-district
2/22/2018,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2018/02/22/2018-03638/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
2/22/2018,"Field Museum of Natural History, Chicago, IL",https://www.federalregister.gov/documents/2018/02/22/2018-03639/notice-of-intent-to-repatriate-cultural-items-field-museum-of-natural-history-chicago-il
